location,latitude,longitude,zone,property_type,bhk,total_sqft,price_per_sqft,price_2021,price_2022,price_2023,price_2024,price_2025,annual_growth_rate_pct,metro_access,distance_to_it_hub_km,kiii,distance_to_airport_km,price_growth_21_25,price_growth_23_25,price_cagr,total_value_lakhs,value_per_bhk,sqft_per_bhk,connectivity_score,price_per_sqft_norm,annual_growth_rate_pct_norm,total_value_lakhs_norm,connectivity_score_norm,distance_to_it_hub_km_norm,zone_enc,type_enc,loc_enc,predicted_price_1yr,predicted_price_3yr,predicted_price_5yr,roi_1yr,roi_3yr,roi_5yr,growth_rate_index,investment_score,category,location_rank,location_insight,best_city_flag
Hsr Layout,12.9133,77.6342,South,Apartment,2,880,13150,7643,8484,9819,11363,13150,14.31,0,5.1,7.2,39.6,72.05285882506868,33.924024849781034,14.529001207606274,115.72,57.86,440.0,25.1,0.44776119402985076,0.45335331584863253,0.12440483626924306,0.36739130434782613,0.14153846153846153,3,0,11,15157.0,19748.0,25849.0,15.26,50.17,96.57,19.29,45.6,Stable,71,Hsr Layout is among the fastest appreciating micro-markets with 15.7% YoY growth. Investment score: 46/100. Projected 3-year ROI: 50.2%. Ideal for growth-oriented investors with a medium horizon.,0
Hulimavu,12.8909,77.6146,South,Apartment,1,640,7250,5242,5577,6087,6643,7250,8.54,0,7.5,8.5,41.6,38.30599008012209,19.106292097913585,8.445178388361295,46.4,46.4,640.0,21.7,0.0955223880597015,0.2371674784563507,0.0281791807215536,0.29347826086956524,0.2153846153846154,3,0,12,7879.0,9280.0,10932.0,8.68,28.0,50.79,11.15,34.8,Stable,66,Hulimavu offers steady 9.0% annual appreciation. Investment score: 35/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 49.9%.,0
Jp Nagar,12.9103,77.5876,South,Apartment,2,1300,8750,6326,6731,7346,8017,8750,8.55,1,8.9,6.9,40.0,38.318052481821056,19.112442145385245,8.447542831366906,113.75,56.875,650.0,46.1,0.18507462686567164,0.2375421506182091,0.12167020641596914,0.823913043478261,0.25846153846153846,3,0,16,9512.0,11251.0,13344.0,8.71,28.58,52.5,11.15,47.0,Stable,56,Jp Nagar offers steady 9.1% annual appreciation. Investment score: 47/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 50.3%.,0
Koramangala,12.939,77.6259,South,Apartment,4,3340,22350,13991,15308,17366,19701,22350,14.18,0,5.5,5.2,37.4,59.74555071117147,28.69975814810549,12.423523549981219,746.49,186.6225,835.0,25.8,0.9970149253731343,0.4484825777444736,1.0,0.3826086956521739,0.15384615384615385,3,0,19,25120.0,31745.0,40136.0,12.39,42.04,79.58,17.2,35.1,Premium,38,"Koramangala commands premium pricing at Rs 21,336/sqft with a 13.3% annual growth trajectory. 5-year ROI forecast: 79.6%. Best suited for high-net-worth portfolio diversification.",0
Itpl,12.988,77.73,East,Apartment,2,1240,11650,7419,8090,9136,10317,11650,11.81,0,1.5,13.0,40.8,57.02924922496293,27.51751313485114,11.942535271123322,144.46,72.23,620.0,28.1,0.3582089552238806,0.35968527538403905,0.16429989311345244,0.43260869565217397,0.03076923076923077,1,0,14,13034.0,16394.0,20543.0,11.88,40.72,76.33,15.78,42.3,Stable,134,Itpl offers steady 13.0% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 75.7%.,0
Manyata Tech Park,13.0416,77.6186,North,Apartment,1,670,12500,8243,8928,9988,11174,12500,12.69,0,0.5,6.9,19.1,51.64381899793764,25.15018021625951,10.97015133210164,83.75,83.75,670.0,39.95,0.408955223880597,0.3926564256275759,0.08002609697524951,0.6902173913043479,0.0,2,0,22,13842.0,17021.0,20933.0,10.74,36.17,67.46,15.2,47.9,Stable,57,"Manyata Tech Park presents an emerging opportunity — current price Rs 11,967/sqft is still accessible, while connectivity score of 40 and 11.9% growth signal strong upside. 5-year ROI estimate: 68.4%. Early-entry advantage recommended.",0
Sarjapur Road,12.8996,77.6895,East,Apartment,1,690,12150,7355,8100,9272,10614,12150,15.18,0,4.2,12.8,41.8,65.19374575118967,31.039689387402937,13.370066195841002,83.835,83.835,690.0,24.900000000000002,0.3880597014925373,0.48594979393031096,0.08014408861866489,0.36304347826086963,0.11384615384615385,1,0,30,13751.0,17651.0,22915.0,13.18,45.28,88.6,18.51,46.3,High Growth,25,Sarjapur Road offers steady 14.5% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 87.5%.,0
Gottigere,12.8733,77.6007,South,Apartment,3,2000,7250,5343,5664,6150,6677,7250,8.68,0,9.2,9.6,47.9,35.69155904922328,17.88617886178862,7.929013645574412,145.0,48.333333333333336,666.6666666666666,16.85,0.0955223880597015,0.24241288872236794,0.1650494870833854,0.18804347826086962,0.2676923076923077,3,0,7,7836.0,9131.0,10636.0,8.08,25.94,46.7,10.72,31.8,Stable,93,Gottigere offers steady 8.7% annual appreciation. Investment score: 32/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 46.5%.,0
Nagarbhavi,12.9606,77.5036,West,Villa,3,1460,6150,5013,5212,5508,5820,6150,5.46,0,16.2,7.2,44.7,22.681029323758228,11.655773420479303,5.243274667242348,89.79,29.930000000000003,486.6666666666667,11.45,0.029850746268656716,0.12176845260397154,0.08841044434264773,0.07065217391304347,0.48307692307692307,4,2,25,6474.0,7176.0,7929.0,5.27,16.68,28.93,6.93,23.0,Stable,76,Nagarbhavi offers steady 5.7% annual appreciation. Investment score: 23/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Mg Road,12.9721,77.6024,Central,Apartment,1,550,14750,12023,12500,13209,13958,14750,4.96,1,12.7,3.3,36.1,22.681527073109873,11.666288136876373,5.243381417023296,81.125,81.125,550.0,44.25,0.5432835820895522,0.10303484451105284,0.07638223739918655,0.783695652173913,0.37538461538461537,0,0,24,15545.0,17301.0,19128.0,5.39,17.29,29.68,6.74,32.6,Stable,88,Mg Road offers steady 5.6% annual appreciation. Investment score: 33/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Jp Nagar,12.9098,77.5863,South,Apartment,3,2180,10100,7302,7769,8479,9254,10100,8.51,1,9.2,6.9,43.8,38.31826896740619,19.1178204977002,8.447585264938606,220.18,73.39333333333333,726.6666666666666,43.9,0.2656716417910448,0.23604346197077558,0.2694096253418288,0.7760869565217392,0.2676923076923077,3,0,16,10921.0,12838.0,15095.0,8.13,27.11,49.46,11.14,44.1,Stable,141,Jp Nagar offers steady 9.1% annual appreciation. Investment score: 47/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 50.3%.,0
Frazer Town,12.9802,77.6136,Central,Apartment,2,1260,11950,9949,10302,10824,11373,11950,5.49,0,10.1,3.9,37.7,20.11257412805307,10.402808573540282,4.6880519831829615,150.57,75.285,630.0,21.049999999999997,0.3761194029850746,0.12289246908954667,0.17278141006954567,0.27934782608695646,0.29538461538461536,0,0,6,12518.0,13722.0,15070.0,4.75,14.83,26.11,6.44,22.7,Stable,46,Frazer Town offers steady 5.1% annual appreciation. Investment score: 22/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 25.8%.,0
Electronic City,12.8415,77.6553,South,Apartment,1,630,7500,4655,5102,5801,6596,7500,13.51,0,0.8,17.1,51.1,61.1170784103115,29.288053783830374,12.66405921009075,47.25,47.25,630.0,23.65,0.11044776119402985,0.4233795428999626,0.029359097155707323,0.3358695652173913,0.009230769230769232,3,0,5,8448.0,10719.0,13602.0,12.64,42.92,81.36,17.16,46.6,Stable,58,Electronic City offers steady 13.8% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 81.5%.,0
Sarjapur Road,12.9034,77.6909,East,Apartment,3,1840,12300,7446,8200,9387,10745,12300,16.21,0,4.4,11.7,47.9,65.18936341659952,31.032278683285398,13.369314305230828,226.32,75.44,613.3333333333334,21.65,0.3970149253731343,0.5245410266017235,0.2779327864073627,0.29239130434782606,0.12000000000000001,1,0,30,13932.0,17898.0,23076.0,13.27,45.51,87.61,18.92,45.6,High Growth,51,Sarjapur Road offers steady 14.5% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 87.5%.,0
Bannerghatta Road,12.8776,77.5936,South,Apartment,4,2840,10300,6448,7055,8003,9079,10300,11.88,0,8.5,5.9,43.9,59.739454094292796,28.701736848681747,12.422450886364489,292.52,73.13,710.0,19.55,0.27761194029850744,0.36230798051704766,0.36982745457321725,0.24673913043478263,0.24615384615384617,3,0,2,11577.0,14627.0,18521.0,12.4,42.01,79.82,16.28,39.5,Stable,136,Bannerghatta Road offers steady 13.5% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 79.6%.,0
Frazer Town,12.9752,77.6161,Central,Builder Floor,2,870,12450,10365,10733,11277,11849,12450,4.96,0,10.6,3.4,34.3,20.11577424023155,10.40170258047353,4.688749266888403,108.315,54.1575,435.0,22.25,0.4059701492537313,0.10303484451105284,0.1141256819222921,0.30543478260869567,0.31076923076923074,0,1,6,13030.0,14264.0,15612.0,4.66,14.57,25.4,6.23,22.1,Stable,81,Frazer Town offers steady 5.1% annual appreciation. Investment score: 22/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 25.8%.,0
Sarjapur Road,12.8983,77.6828,East,Apartment,3,1440,12450,7537,8300,9501,10876,12450,16.62,0,4.1,12.1,47.7,65.18508690460395,31.038838017050836,13.36858055650545,179.28,59.76,480.0,22.049999999999997,0.4059701492537313,0.5399025852379169,0.21263482280431434,0.30108695652173906,0.11076923076923076,1,0,30,14078.0,18102.0,23223.0,13.08,45.4,86.53,19.09,46.1,High Growth,33,Sarjapur Road offers steady 14.5% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 87.5%.,0
Rajajinagar,12.9877,77.5577,West,Apartment,3,1890,13350,10658,11125,11822,12563,13350,7.1,1,11.3,4.0,33.1,25.258022142991184,12.925054982236508,5.79164919774251,252.315,84.105,630.0,47.150000000000006,0.4597014925373134,0.18321468714874486,0.31401740723774624,0.8467391304347827,0.3323076923076923,4,0,26,14085.0,15862.0,17847.0,5.51,18.82,33.69,8.1,38.8,Stable,21,Rajajinagar offers steady 6.3% annual appreciation. Investment score: 37/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 32.6%.,0
Sarjapur Road,12.8965,77.6848,East,Apartment,2,1290,12050,7294,8033,9196,10527,12050,15.19,0,4.1,13.2,41.6,65.20427748834659,31.035232709873856,13.371873097168985,155.445,77.7225,645.0,25.1,0.382089552238806,0.4863244660921694,0.1795485778536626,0.36739130434782613,0.11076923076923076,1,0,30,13657.0,17509.0,22527.0,13.34,45.3,86.95,18.51,46.3,High Growth,25,Sarjapur Road offers steady 14.5% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 87.5%.,0
Frazer Town,12.977,77.61,Central,Apartment,2,1020,11200,9323,9654,10144,10659,11200,4.64,0,11.5,3.4,34.1,20.133004397726054,10.410094637223976,4.692503367102296,114.24,57.12,510.0,21.45,0.33134328358208953,0.09104533533158486,0.1223503935368342,0.28804347826086957,0.3384615384615385,0,0,6,11717.0,12863.0,14121.0,4.62,14.85,26.08,6.1,22.4,Stable,60,Frazer Town offers steady 5.1% annual appreciation. Investment score: 22/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 25.8%.,0
Bannerghatta Road,12.8799,77.6015,South,Apartment,2,1030,9100,5697,6233,7071,8022,9100,12.82,0,7.6,6.7,39.5,59.73319290854836,28.69466836373922,12.421349235871526,93.73,46.865,515.0,22.65,0.20597014925373133,0.39752716373173475,0.09387970404919557,0.31413043478260866,0.21846153846153846,3,0,2,10256.0,12934.0,16338.0,12.7,42.13,79.54,16.65,43.4,Stable,45,Bannerghatta Road offers steady 13.5% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 79.6%.,0
Kanakapura Road,12.8674,77.5904,South,Villa,1,600,8750,6036,6481,7163,7917,8750,9.93,1,7.6,8.4,45.5,44.9635520212061,22.155521429568616,9.727303182620318,52.5,52.5,600.0,44.65,0.18507462686567164,0.2892469089546647,0.03664681630783326,0.7923913043478261,0.21846153846153846,3,2,17,9603.0,11533.0,13854.0,9.75,31.81,58.33,12.92,48.8,Stable,95,"Kanakapura Road presents an emerging opportunity — current price Rs 8,481/sqft is still accessible, while connectivity score of 44 and 10.4% growth signal strong upside. 5-year ROI estimate: 59.0%. Early-entry advantage recommended.",0
Thanisandra,13.0653,77.6246,North,Apartment,2,990,10000,6314,6897,7806,8835,10000,14.93,0,13.1,7.0,21.3,58.37820715869496,28.106584678452474,12.182174924571033,99.0,49.5,495.0,26.25,0.25970149253731345,0.4765829898838516,0.10119518594094866,0.3923913043478261,0.38769230769230767,2,0,31,11209.0,14105.0,17751.0,12.09,41.05,77.51,17.26,47.1,Stable,45,Thanisandra offers steady 13.1% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 77.7%.,0
Varthur,12.9504,77.7436,East,Apartment,3,2180,8050,5309,5750,6433,7196,8050,12.8,0,3.8,12.8,39.0,51.62930872103975,25.13601741022851,10.967496648555496,175.49,58.49666666666667,726.6666666666666,26.7,0.14328358208955225,0.39677781940801804,0.2073737836449701,0.40217391304347827,0.10153846153846154,1,0,32,8909.0,10937.0,13351.0,10.67,35.86,65.85,15.24,44.6,Stable,30,Varthur offers steady 11.9% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 68.2%.,0
Banashankari,12.9321,77.5524,South,Apartment,2,1040,8750,6844,7172,7664,8189,8750,6.79,1,11.1,5.4,35.4,27.849210987726476,14.170146137787057,6.3345782866358835,91.0,45.5,520.0,46.2,0.18507462686567164,0.17159985013113527,0.0900900900900901,0.8260869565217391,0.3261538461538461,3,0,1,9342.0,10560.0,11961.0,6.77,20.69,36.7,8.48,42.4,Stable,63,Banashankari offers steady 6.8% annual appreciation. Investment score: 42/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Hsr Layout,12.9165,77.6355,South,Apartment,3,1340,13200,7671,8516,9856,11406,13200,13.88,0,5.2,7.9,43.7,72.07665232694565,33.92857142857143,14.532960608100808,176.88,58.96,446.6666666666667,22.95,0.4507462686567164,0.43724241288872245,0.20930329404905676,0.32065217391304346,0.14461538461538462,3,0,11,15193.0,19938.0,25981.0,15.1,51.05,96.83,19.12,43.8,Stable,109,Hsr Layout is among the fastest appreciating micro-markets with 15.7% YoY growth. Investment score: 46/100. Projected 3-year ROI: 50.2%. Ideal for growth-oriented investors with a medium horizon.,0
Kr Puram,13.0068,77.6982,East,Builder Floor,2,1040,9900,5205,5893,7005,8328,9900,16.17,1,6.6,6.7,38.1,90.20172910662824,41.32762312633833,17.436639489596438,102.96,51.48,520.0,49.349999999999994,0.2537313432835821,0.5230423379542901,0.10669220838712362,0.8945652173913041,0.18769230769230769,1,1,20,11637.0,16068.0,22147.0,17.55,62.3,123.71,22.9,68.0,High Potential,141,"Kr Puram presents an emerging opportunity — current price Rs 9,567/sqft is still accessible, while connectivity score of 51 and 18.8% growth signal strong upside. 5-year ROI estimate: 123.3%. Early-entry advantage recommended.",0
Whitefield,12.9745,77.7485,East,Apartment,4,2050,13950,6052,7117,8907,11147,13950,26.8,1,1.9,15.2,45.0,130.5023132848645,56.618390030313236,23.216486861448725,285.975,71.49375,512.5,50.6,0.4955223880597015,0.9213188460097416,0.3607420980302336,0.9217391304347827,0.043076923076923075,1,0,33,17198.0,26103.0,39693.0,23.28,87.12,184.54,33.0,87.8,High Growth,43,Whitefield is among the fastest appreciating micro-markets with 25.1% YoY growth. Investment score: 86/100. Projected 3-year ROI: 87.1%. Ideal for growth-oriented investors with a medium horizon.,1
Electronic City,12.844,77.659,South,Apartment,2,900,7600,4717,5170,5878,6684,7600,14.97,0,0.9,19.6,50.3,61.11935552257791,29.295678802313713,12.664457286064534,68.4,34.2,450.0,23.950000000000003,0.11641791044776119,0.47808167853128525,0.05871819431141466,0.34239130434782616,0.012307692307692308,3,0,5,8551.0,10842.0,13727.0,12.51,42.66,80.62,17.74,48.5,Stable,10,Electronic City offers steady 13.8% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 81.5%.,0
Kengeri,12.9193,77.488,West,Apartment,3,1570,6200,4849,5082,5430,5802,6200,7.59,1,22.0,8.4,40.4,27.861414724685503,14.180478821362799,6.337115714838992,97.34,32.446666666666665,523.3333333333334,34.8,0.03283582089552239,0.20157362307980517,0.09889087855189552,0.5782608695652174,0.6615384615384615,4,0,18,6582.0,7407.0,8396.0,6.16,19.47,35.42,8.8,39.4,Stable,15,Kengeri offers steady 6.8% annual appreciation. Investment score: 38/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Malleshwaram,13.0067,77.5708,North,Apartment,3,2130,13250,12049,12268,12587,12914,13250,2.22,1,14.2,3.7,29.5,9.9676321686447,5.267339318344323,2.403834363545787,282.225,94.075,710.0,46.05,0.4537313432835821,0.0003746721618583826,0.3555365843501437,0.8228260869565216,0.42153846153846153,2,0,21,13567.0,14231.0,14921.0,2.39,7.4,12.61,3.05,28.8,Stable,106,Malleshwaram offers steady 2.6% annual appreciation. Investment score: 30/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 12.7%.,0
Rajajinagar,12.9864,77.5523,West,Builder Floor,3,1490,14000,11177,11667,12398,13175,14000,5.59,1,12.7,4.0,29.6,25.25722465777937,12.921438941764801,5.791480810369487,208.6,69.53333333333333,496.6666666666667,47.5,0.49850746268656715,0.1266391907081304,0.25333499909771096,0.8543478260869565,0.37538461538461537,4,1,26,14797.0,16531.0,18532.0,5.69,18.08,32.37,7.49,36.2,Stable,119,Rajajinagar offers steady 6.3% annual appreciation. Investment score: 37/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 32.6%.,0
Malleshwaram,13.0002,77.5719,North,Apartment,3,2110,14450,13140,13379,13727,14084,14450,2.72,1,15.4,3.6,27.4,9.969558599695585,5.266992059444889,2.404282842399108,304.895,101.63166666666666,703.3333333333334,45.900000000000006,0.5253731343283582,0.01910828025477708,0.38700564971751406,0.8195652173913044,0.4584615384615385,2,0,21,14812.0,15560.0,16267.0,2.51,7.68,12.57,3.25,28.3,Stable,139,Malleshwaram offers steady 2.6% annual appreciation. Investment score: 30/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 12.7%.,0
Itpl,12.9816,77.732,East,Builder Floor,3,2070,10500,6687,7292,8234,9298,10500,13.81,0,1.4,12.2,36.6,57.02108568864962,27.52003886324994,11.941080343502474,217.35,72.45,690.0,30.3,0.28955223880597014,0.43461970775571385,0.2654811976845875,0.4804347826086957,0.02769230769230769,1,1,14,11718.0,14767.0,18497.0,11.6,40.64,76.16,16.58,47.2,High Potential,11,Itpl offers steady 13.0% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 75.7%.,0
Hennur,13.0389,77.6393,North,Builder Floor,2,940,7850,5270,5688,6333,7051,7850,9.78,0,11.2,7.4,21.8,48.95635673624288,23.953892310121585,10.47519082159396,73.79,36.895,470.0,27.900000000000002,0.13134328358208955,0.28362682652678906,0.06620025264093062,0.4282608695652175,0.3292307692307692,2,1,9,8674.0,10644.0,13102.0,10.5,35.59,66.9,13.57,41.6,Stable,87,Hennur offers steady 11.2% annual appreciation. Investment score: 42/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 64.4%.,0
Sarjapur Road,12.9055,77.6901,East,Apartment,3,2050,11200,6779,7466,8547,9784,11200,13.99,0,4.5,12.3,41.8,65.21610857058563,31.04013104013104,13.373902820542982,229.6,76.53333333333333,683.3333333333334,24.6,0.33134328358208953,0.4413638066691646,0.2824858757062147,0.35652173913043483,0.12307692307692308,1,0,30,12738.0,16401.0,21073.0,13.73,46.44,88.15,18.04,45.4,Stable,57,Sarjapur Road offers steady 14.5% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 87.5%.,0
